!SESSION 2016-09-29 09:24:25.661 -----------------------------------------------
eclipse.buildId=4.3.0.M20130911-1000
java.version=1.7.0_45
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86, WS=win32, NL=zh_CN
Framework arguments:  -product org.eclipse.epp.package.jee.product
Command-line arguments:  -os win32 -ws win32 -arch x86 -product org.eclipse.epp.package.jee.product

This is a continuation of log file D:\branches\apolexy-workspace\.metadata\.bak_3.log
Created Time: 2016-09-29 15:25:09.918

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:25:09.918
!MESSAGE loading file 'pom.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.602
!MESSAGE properties loading for project 'apoplexy-admin'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.605
!MESSAGE loading file 'pom.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.605
!MESSAGE loading file 'pom.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.606
!MESSAGE loading file 'pom.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.606
!MESSAGE loading file 'pom.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.606
!MESSAGE loading file 'pom.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.606
!MESSAGE loading file 'pom.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.607
!MESSAGE loading file 'application-env.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.607
!MESSAGE loading file 'application-message.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.607
!MESSAGE loading file 'logback.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.607
!MESSAGE loading file 'application-env.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.607
!MESSAGE loading file 'application-message.properties'

!ENTRY jp.gr.java_conf.ussiy.app.propedit 1 0 2016-09-29 15:27:17.608
!MESSAGE loading file 'logback.properties'
